Epoch 003 || Loss: 0.4595 | Time: 41.95 | Test Dice: 0.0000 
Epoch 004 || Loss: 0.4537 | Time: 41.95 | Test Dice: 0.0000 
Epoch 005 || Loss: 0.4496 | Time: 42.24 | Test Dice: 0.0000 
Epoch 006 || Loss: 0.4463 | Time: 42.16 | Test Dice: 0.0000 
Epoch 007 || Loss: 0.4436 | Time: 42.19 | Test Dice: 0.0000 
Epoch 008 || Loss: 0.4411 | Time: 42.24 | Test Dice: 0.0000 
Epoch 009 || Loss: 0.4388 | Time: 42.22 | Test Dice: 0.0000 
Epoch 010 || Loss: 0.4367 | Time: 42.28 | Test Dice: 0.0001 
Epoch 011 || Loss: 0.4348 | Time: 42.25 | Test Dice: 0.0001 
Epoch 012 || Loss: 0.4329 | Time: 42.16 | Test Dice: 0.0001 
Epoch 013 || Loss: 0.4310 | Time: 42.16 | Test Dice: 0.0001 
Epoch 014 || Loss: 0.4291 | Time: 42.19 | Test Dice: 0.0000 
Epoch 015 || Loss: 0.4273 | Time: 42.31 | Test Dice: 0.0001 
Epoch 001 || Loss: 1.0400 | Time: 42.40 | Test Dice: 0.0432 
Epoch 002 || Loss: 0.9880 | Time: 41.90 | Test Dice: 0.0432 
Epoch 003 || Loss: 0.9529 | Time: 42.02 | Test Dice: 0.0432 
Epoch 004 || Loss: 0.9306 | Time: 42.04 | Test Dice: 0.0432 
Epoch 005 || Loss: 0.9209 | Time: 41.94 | Test Dice: 0.0432 
Epoch 006 || Loss: 0.9171 | Time: 41.93 | Test Dice: 0.0425 
Epoch 007 || Loss: 0.9060 | Time: 42.04 | Test Dice: 0.0408 
Epoch 008 || Loss: 0.8943 | Time: 42.01 | Test Dice: 0.0400 
Epoch 009 || Loss: 0.8788 | Time: 41.92 | Test Dice: 0.0407 
Epoch 010 || Loss: 0.8659 | Time: 42.01 | Test Dice: 0.0436 
Epoch 011 || Loss: 0.8702 | Time: 41.98 | Test Dice: 0.0440 
Epoch 012 || Loss: 0.8370 | Time: 41.96 | Test Dice: 0.0439 
Epoch 013 || Loss: 0.8284 | Time: 41.99 | Test Dice: 0.0439 
Epoch 014 || Loss: 0.8119 | Time: 41.94 | Test Dice: 0.0499 
Epoch 015 || Loss: 0.8001 | Time: 41.99 | Test Dice: 0.0508 
Epoch 001 || Loss: 0.5812 | Time: 42.80 | Test Dice: 0.0000 
Epoch 002 || Loss: 0.5643 | Time: 41.79 | Test Dice: 0.0000 
Epoch 003 || Loss: 0.5531 | Time: 41.74 | Test Dice: 0.0000 
Epoch 004 || Loss: 0.5431 | Time: 49.87 | Test Dice: 0.0000 
Epoch 005 || Loss: 0.5357 | Time: 42.06 | Test Dice: 0.0000 
